,공원명,공원구분,소재지지번주소,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),관리기관명
17192,감삼공원,어린이공원,대구광역시 달서구 감삼동 165-2,,그네+조합놀이대,,,,대구광역시 달서구청
17193,삼각지공원,어린이공원,대구광역시 달서구 감삼동 123,,흔들놀이기구,,,,대구광역시 달서구청
17194,감삼소공원,어린이공원,대구광역시 달서구 감삼동 287-59,,그네+조합놀이대,,,,대구광역시 달서구청
17195,감성테마공원,어린이공원,대구광역시 달서구 상인동 1461,,흔들놀이기구+조합놀이대,,,,대구광역시 달서구청
17196,각골공원,근린공원,경기도 안산시 상록구 본오동 45-6,체력단련장+체력단련시설+국궁장,,화장실+주차장,,,경기도 안산시청
17197,석대동어린이공원,어린이공원,부산광역시 해운대구 반송동 440-3 일원,,,,,,부산광역시 해운대구
17198,석대동어린이공원,어린이공원,부산광역시 해운대구 반송동 321-3 일원,,,,,,부산광역시 해운대구
17199,소공원,소공원,부산광역시 해운대구 중동 1083-7 일원,,,,,,부산광역시 해운대구
17200,소공원,소공원,부산광역시 해운대구 해운대해변로298번길 32(중동),,,,,,부산광역시 해운대구
17201,화지공원,근린공원,부산광역시 부산진구 양정동 산73-28,,,,,,부산광역시 부산진구청
17202,백양가족공원,근린공원,부산광역시 부산진구 당감동 794-2,,"조합놀이대, 흔들놀이",,,,부산광역시 부산진구청
17203,시민공원,근린공원,부산광역시 부산진구 범전동 200,,,화장실,,"세미나실, 공연장",부산시설공단
17204,돌산공원,근린공원,부산광역시 부산진구 전포동 산65-3,족구장,,화장실,,야외 공연장,부산광역시 부산진구청
17205,백양어린이공원,어린이공원,부산광역시 부산진구 초읍동 181-1,,조합놀이대,,,,부산광역시 부산진구청
17206,개나리어린이공원,어린이공원,부산광역시 부산진구 개금동 53-4,,"조합놀이대, 그네",,,,부산광역시 부산진구청
17207,솔바람어린이공원,어린이공원,부산광역시 부산진구 당감동 516-5,배드민턴장,"조합놀이대, 흔들놀이대",,,,부산광역시 부산진구청
17208,화목어린이공원,어린이공원,부산광역시 부산진구 개금동 1-2,,조합놀이대,화장실,,,부산광역시 부산진구청
17209,까치어린이공원,어린이공원,부산광역시 부산진구 개금동 1-10,,"조합놀이대, 건너는기구",,,,부산광역시 부산진구청
17210,백두어린이공원,어린이공원,부산광역시 부산진구 당감동 794-1,,조합놀이대,,,,부산광역시 부산진구청
17211,미리내어린이공원,어린이공원,부산광역시 부산진구 당감동 796-3,배드민턴장,"시소, 흔들놀이기구",,,,부산광역시 부산진구청
17212,색동어린이공원,어린이공원,부산광역시 부산진구 당감동 796-1,,조합놀이대,,,,부산광역시 부산진구청
17213,은하수어린이공원,어린이공원,부산광역시 부산진구 부암동 721,,"미끄럼틀, 시소",,,,부산광역시 부산진구청
